Date, Open, High, Low, Close
06/07/23, 33562.47, 33708.78, 33546.11, 33665.02
06/06/23, 33547.67, 33631.25, 33399.69, 33573.28
06/05/23, 33771.13, 33804.22, 33552.79, 33562.86
06/02/23, 33187.58, 33805.00, 33187.58, 33762.76
06/01/23, 32929.85, 33167.75, 32704.51, 33061.57
05/31/23, 32948.71, 32984.83, 32739.73, 32908.27
05/30/23, 33103.65, 33132.70, 32893.97, 33042.78
05/26/23, 32795.50, 33162.06, 32795.50, 33093.34
05/25/23, 32854.26, 32870.43, 32586.56, 32764.65
05/24/23, 33021.76, 33031.75, 32752.44, 32799.92
05/23/23, 33190.60, 33310.17, 33013.29, 33055.51
05/22/23, 33408.54, 33512.30, 33207.85, 33286.58
05/19/23, 33582.95, 33652.90, 33336.66, 33426.63
05/18/23, 33374.56, 33579.91, 33212.09, 33535.91
05/17/23, 33092.48, 33472.38, 33050.41, 33420.77
05/16/23, 33275.37, 33290.85, 33006.19, 33012.14
05/15/23, 33321.21, 33400.30, 33161.93, 33348.60
05/12/23, 33370.58, 33406.40, 33110.61, 33300.62
05/11/23, 33383.89, 33389.88, 33127.70, 33309.51
05/10/23, 33707.20, 33772.09, 33239.45, 33531.33
05/09/23, 33589.85, 33656.40, 33509.72, 33561.81
05/08/23, 33715.15, 33747.49, 33509.23, 33618.69
05/05/23, 33248.55, 33748.43, 33248.55, 33674.38
05/04/23, 33347.78, 33354.86, 32937.50, 33127.74
05/03/23, 33726.64, 33811.84, 33396.05, 33414.24
05/02/23, 34017.62, 34017.75, 33436.66, 33684.53
05/01/23, 34116.81, 34257.83, 34030.14, 34051.70
04/28/23, 33797.43, 34104.56, 33728.40, 34098.16
04/27/23, 33381.66, 33859.75, 33374.65, 33826.16
04/26/23, 33596.34, 33645.83, 33235.85, 33301.87
04/25/23, 33828.34, 33875.49, 33525.39, 33530.83
04/24/23, 33805.04, 33891.15, 33726.09, 33875.40
04/21/23, 33793.60, 33858.83, 33688.57, 33808.96
04/20/23, 33740.60, 33875.39, 33677.74, 33786.62
04/19/23, 33889.83, 33957.98, 33814.65, 33897.01
04/18/23, 33965.16, 34018.62, 33791.89, 33976.63
04/17/23, 33930.46, 33991.23, 33796.91, 33987.18
04/14/23, 33981.71, 34082.94, 33730.85, 33886.47
04/13/23, 33668.97, 34054.99, 33605.17, 34029.69
04/12/23, 33764.21, 33895.43, 33593.32, 33646.50
04/11/23, 33586.75, 33781.29, 33586.75, 33684.79
04/10/23, 33425.25, 33590.24, 33343.43, 33586.52
04/06/23, 33420.96, 33525.96, 33325.37, 33485.29
04/05/23, 33394.60, 33543.84, 33376.27, 33482.72
04/04/23, 33594.79, 33634.72, 33275.62, 33402.38
04/03/23, 33245.78, 33632.90, 33245.78, 33601.15
03/31/23, 32901.96, 33291.00, 32901.96, 33274.15
03/30/23, 32807.43, 32905.80, 32682.87, 32859.03
03/29/23, 32566.54, 32728.04, 32539.94, 32717.60
03/28/23, 32434.85, 32551.01, 32295.50, 32394.25
03/27/23, 32276.72, 32564.00, 32276.72, 32432.08
03/24/23, 32038.22, 32257.24, 31805.18, 32237.53
03/23/23, 32101.49, 32511.49, 31864.74, 32105.25
03/22/23, 32570.19, 32761.89, 32020.46, 32030.11
03/21/23, 32420.71, 32593.68, 32346.12, 32560.60
03/20/23, 31872.33, 32280.07, 31872.33, 32244.58
03/17/23, 32217.32, 32217.32, 31728.70, 31861.98
03/16/23, 31827.65, 32281.61, 31571.46, 32246.55
03/15/23, 31759.87, 31906.47, 31429.82, 31874.57
03/14/23, 32055.29, 32306.59, 31805.40, 32155.40
03/13/23, 31819.93, 32240.35, 31624.87, 31819.14
03/10/23, 32185.14, 32422.10, 31783.41, 31909.64
03/09/23, 32876.83, 32990.46, 32190.60, 32254.86
